Text,True_Sentiment,Logistic_Regression_Guess,VADER_Guess
"I'm not stupid. I have nearly a degree from a major university. I read this description over and over, and still it didn't make any sense. Ten bars! Pack of two! Two boxes! Forty-eight! Hike!<br /><br />Like me, you'll probably be surprised by the dearth of product. You get two boxes. Each contains five packets. Each packet has 2 bars, sure -- but the weight of each packet is 1.5 oz, which is less than two-thirds the weight of ONE regular Clif bar. These bars are maybe 1 1/2"" wide, 4"" long, and 1/4"" thick. You'll be tempted to use them to file your nails. Why would Clif suddenly decide that humans can't take a granola bar that weighs more than .75 oz -- and package two of them together? Gosh, let's all think.<br /><br />Anyway, now you know. On the plus side, if you don't like these -- I'd give them a 5 out of 10 on taste -- just hold the box in your open palm, and a hefty breeze will take them away.",Negative,Negative,Negative
"Our cat is a picky eater.  She refuses to eat pate-style canned food.  This does not leave us with many options.  Weruva and Tiki Cat both provide foods with shredded chicken meat and/or chunks of fish.  Kitty prefers the Tiki Cat chicken flavors to the Weruva chicken (which she often barfs), and the Weruva fish flavors to the Tiki Cat fish flavors.<br /><br />Our previous vet recommended incorporating wet food into her diet - she was getting chubby on dry food alone. However, our current vet noted that Tiki Cat is high in carbohydrates and fat.",Positive,Positive,Neutral
"I have purchased this product many times. But this time I was disappointed. The large dog chews have always had different thicknesses, but this bag was all just above paper thin. The point of the chew is not just the chemical for tarter, they have to chew on it for a while, ant that thin of a stripe results in very little chewing.",Neutral,Positive,Negative
This tea tastes nasty.  Maybe I just dont like sage but it made me gag!,Negative,Negative,Negative
"As a dabbler who enjoys spanning the entire spectrum of taste, I am more than willing to try anything once.  Both as a food aficionado and a lover of bacon, I just had to pick this up.  One taste caused me to throw out my sandwich, and subsequently throw out the entire jar of unused mayonnaise.<br /><br />I would give this less than 1 star, if I could.<br /><br />Steer clear from this unless you're a major tool who has no sensibility past buying bacon-everything.",Negative,Negative,Positive
"We drank it, we liked it. I didn't really notice if the low acid made a different, but it seemed good so if its low acid it must be better then regular. Tastes good.",Positive,Positive,Positive
"The flavor of these nuts is similar to cinnamon toast cereal, yet they are filling and healthy, containing little sugar and almost no salt. I would deduct a star for being priced too high both here and in the supermarket, but Blue Diamond deserves credit for their restraint in using quality ingredients and in not producing a sugar encrusted candy. Now if they would only go against the trend of charging a huge markup for minimal extra processing cost...<br /><br />The other reviewer seems to think these contain lactose. The ingredients:<br />ALMONDS, EVAPORATED CANE JUICE, BROWN SUGAR, CORN MALTODEXTRIN, CINNAMON, NATURAL FLAVORS AND SALT. PEANUT FREE. MAY CONTAIN OTHER TREE NUTS. Unless OTHER TREE NUTS comes from cows, I don't think this is true.",Positive,Positive,Positive
"Why does the ingredients list prominently feature sorbitol and xylitol?  With the stevia, that's 3 sweeteners!!!  And sorbitol causes painful gas and bloating.  Want a gum sweetened ONLY with stevia.  Does that product exist?",Negative,Positive,Negative
This is a quick and convenient way to drink green tea! I add lemon juice and stevia.,Positive,Positive,Neutral
This is wonderful cinnamon.  It is so much better than the regular ground cinnamon we find in our every day stores in the U.S.  This ceylon cinnamon is not bitter like the regular cinnamon.  I recommend everyone at least try this Indus Organic Ceylon Cinnamon Powder.  I will be ordering more because my husband and I love it.,Positive,Positive,Positive
"I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",Neutral,Positive,Positive
"and good for you. A very good tea but there should be a way of making ""good for you"" tea taste better!",Positive,Positive,Positive
"I bought this dog food after my twelve year old pit/hound mix stopped eating another major brand. He scarfs this up like it was a bowl of beef liver. The food is processed into small pellets about the size of a slightly flattened green pea which mixes thoroughly and easily with canned dog food, a bit of scrambled egg or a splash of chicken broth. However, our pooch seems to like it dry almost as much as mixed with other protein. Even the cats will nibble on any leftover bits during the day. Amazon offers a reasonable price and combined with Prime free shipping this provides a convenient alternative to hauling heavy bags of dog food home from the grocery store.",Positive,Positive,Positive
"I love creamy dressings, but I much prefer the home-made, milk-based variety rather than the typical soybean oil-based dressings sold in the grocery stores.<br />That said, the Bold and Creamy Jalapeno sauce is a refreshing way to spice up your salad or tacos and definitely a nice step-up from your average oil-based ranch dressing. It has a bit more of a kick than I expected from a mainstream product, but that's a good thing.  In addition to the spiciness, it's a tad on the sweet side, and while there are jalapenos, and green and red peppers on the ingredients list, it reminded me more of chili powder seasoning - probably because of the sweetness.<br />At he end of the day, this is one product I will likely buy again once the trial sample is gone.",Positive,Positive,Positive
"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",Positive,Positive,Positive
"I first tried this incredible sauce at the NOODLES INC restaurant with a udon noodles type of dish with chicken breast and cilantro and bean sprouts. OMG !! this sauce is unique, sweet, perky and garlicky and this fresh kind of hotness you wont believe. I immediately went to King Soopers and bought the noodles, sprouts , cilantro and chicken and the Sauce to make this at home. YUMMMM !!",Positive,Positive,Positive
Love them!  Great deal.  Waiting for you to put another bulk order up so I can buy them again!  I'm running low,Positive,Positive,Positive
"I can no longer purchase this tea in the stores, so this is the only place that I have found it.  Thanks, for carrying it.",Positive,Positive,Positive
"My cats love this cat food.  They enjoy the shredded meat and chunks of potatoes and vegetables.  This is a great supplement to commercial wet food, which I use when higher quality cat food is not available.<br /><br />UPDATE:  I think they have changed some of their recipes.  My cats used to love the Steak Frites, but they don't like the new version at all.  I still think the food is good and very high quality, though.",Positive,Positive,Positive
This bbq pork jerky is pretty good it's moist and chewy. It's not dry at all. flavor is good not super salty like most jerkys.,Positive,Positive,Positive
"Having just successfully grown two kinds of seeds, using the same technique, these immediately mildewed. They came with no instructions, except to look on the Web. On his site it said instructions are expensive, and would be posted in a few days. I.e., there are no instructions for this mix as far as I could see. I have news for you Todd, in the last company I worked with we provided BOTH written instructions with the product and a Web site. Instructions are for a customer's convenience, not yours, Todd, and are not omitted so that you can save a few cents.",Negative,Positive,Positive
Kong Stuff'N Snacks make a perfect stuffer for the Kong Classic Dog Toy. Much better and less messy than peanut butter. Keeps the dogs occupied for at least 20 minutes or longer. And the dogs love 'em! Just wish they were a tad cheaper or had more in the package.,Positive,Positive,Positive
"While, I do think this bread is good, I honestly think the Pamela's Wheat-Free Amazing Bread Mix is better.  I made both in my bread machine and Pamela's was easier to make and tastier.",Neutral,Positive,Positive
"I was getting VERY worried, when I read some of the other reviews here.  Specifically, the ""One Star"" reviews, to which I always go, to see if the faults these other reviewers find with any merchandise would prevent me from buying it.<br /><br />WOW!  They sure seemed to hate the KETTLE CHIPS, BACKYARD BARBECUE 9-OUNCE BAGS, (PACK OF 12), that I had bought as 1 ounce bags, liked A LOT, decided to subscribe....and then, for good measure, got 2 orders of the 9 ounce bags.<br /><br />Yes...I love potato chips....especially these KETTLE CHIPS, BACKYARD BARBECUE FLAVOUR....but others seemed to really HATE them...or at least, hate how they had changed.<br />But then I realized they were talking about OTHER FLAVOURS!  Amazon, in it's deep wisdom, has obviously seen fit to put ALL comments concerning ALL flavours of KETTLE, (and other brands of?????) potato chips, TOGETHER!<br /><br />Of course, this DOES have SOME advantages, because most potato-chip lovers, (like me!), enjoy eating several flavour, and brand varieties.  So, comparisons can be made easily.  Also, as we're all potato-chip lovers, but each person has his or her very favourite flavour that they are reviewing, we are, here a sort of ""United Nations of Potato Chip Lovers""....all different, but all united in our love of Potato Chips!  (The rest of the world can REALLY benefit from the example of our tightly-knit, but ever...er,...expanding...group here, I think! : )  But -- not at first realizing that these<br />different flavour reviews were all together, did cause me a little confusion and dismay.... at least to begin with.... (Amazon should have mentioned that this is the ""Kettle Potato Chip Review Forum""! : )<br /><br />I am happy to report that KETTLE CHIPS, BACKYARD BARBEQUE FLAVOUR, are totally delicious!  (At least they are in the one-ounce bags...hopefully the same product in the 9 ounce bags will taste the same!)  These are definitely chips for ADULTS, however -- and/or children whose stronger-than-adult taste buds can withstand the very strong flavour of these chips.  They are NOT the strongest flavour I have ever had...that was from a jalapeno pepper chip which was far too strong for even me!<br />These Backyard Barbeque chips by Kettle, however, have just the right amount of sweetness, (with honey powder, onion and sugar), to take the edge of the stonger flavours<br />(paprika, chili pepper, cayenne pepper, and natural smoke flavour), of which there is less, (they come further down in the list of ingredients than the sweeteners.)<br /><br />The complete list of ingredients of these KETTLE BACKYARD BARBECUE CHIPS, (in the 1-ounce bags, and hopefully, in the 9 ounce bags as well), is as follows:<br /><br />Potatoes<br />Vegetable Oil, (Safflower and Sunflower Oil),<br />Honey Powder, (Dried cane sugar, honey),<br />Rice Powder<br />Sugar<br />Salt<br />Onion Powder<br />Tomato Powder<br />Paprika<br />Torula Yeast<br />Garlic Powder<br />Chili Pepper<br />Citric Acid<br />Cayenne Pepper<br />Paprika Oleoresin, (Colour)<br />Natural Smoke Flavour<br /><br />Naturally cooked, natural ingredients.  The combination is a true taste treat!<br /><br />Of course, as with all ptato chips, moderation is the key.<br />Potatoes contain a LOT of potassium....which gives energy and othr good things....but too much of which can damage kindneys.  The vegetable oil is great -- but too much oil, (as well as too much starch, from the potatoes), can hurt the eyes.  Natural smoke flavour is SO yummy....but it, (as well as sugar), has -- in very large amounts -- been linked to cancer production<br /><br />As far as the starch from the potatoes and oil go, this<br />can be ameliorated, (a bit), by drinking TEA...which is good for the eyes.  But as far as the potassium, (energy - good, too much -- bad for the kidneys), and the sugar and natural smoke flavour, (too much leading to cancer production) -- the only thing is to do what is good in everything.....M O D E R A T I O N...!<br /><br />Twice or three times a month, I allow myself to go on what I call a ""Potato Chip Diet"".  I eat only one large bag, (or the equivalent in small ones), of potato chips all day.  I supplement this with tea, coffee, and lemonade, as well as several servings of Carnation Instant Breakfast Essentials, (I like the Dark Chocolate flavour)  This adds up to fewer calories than I would normally eat, if I had my normal three meals a day plus snacks.  It also teaches me to eat s-l-o-w-l-y, because that one big bag, (or many little bags), never lasts as long as I'd like.  Anyway, with excercise and sensible eating, the rest of the month, (and keeping my scale nearby, and weighing myself at least twice a day, every day), I've taken off ten pounds in the last three months! : )<br /><br />These BACKYARD BARBEQUE flavour potato chips from KETTLE,<br />are totally scrumptious.  Except for those jalapino chips, (which tasted good, but were far too spicy for my own taste buds), I have yet to meet a potato chip I didn't like to eat.  These Kettle BACKYARD BARBEQUE flavour potato chips, with their combination of potatoes, sweetness, and spices, have truly become one of my top five favourites....if not the VERY first favourite, of all!<br /><br />Flavoured potato PERFECTION!",Positive,Positive,Positive
"I ordered four jars of these great cocktail onions, but got only two, each of which was open and leaking. Don't know whether this was a packing issue or UPS's fault, but the company did promptly replace all four jars at no additional charge either for the product or the subsequent shipping. Hard to argue with the service!",Neutral,Positive,Negative
"Contrary to the implication of the ""bold"" moniker, this sauce does not have a real strong flavor.  The jalapeno taste is subtle, which is actually a good thing for folks that like just a little bite to their sauce without having to worry about their tongues burning off.  If you are looking for a powerful hot pepper jolt, you aren't going to find it in this product. But it is a bit different of a taste, with a combination of spice and sweetness that fits with a variety of foods.<br /><br />But, at 70 calories a serving, you can accidentally pack on a lot of empty calories using this product.  Compare that to the typical taco sauce with around 10 calories per serving, and that can add up.",Neutral,Positive,Positive
My dogs loved these but I stopped getting them because they came from China and the issues related to chicken and dog treats from China.  I'd like to get them again.  Can someone that has used them recently tell me if they still come form china?,Neutral,Positive,Positive
"I gave my wife a Keurig last Christmas but, being a coffee purist, scorned using it. Then one morning I was running later than normal so I borrowed one of her K-cups and had a cup. Not bad but not my cuppa. I was intrigued and shopped around trying different coffees until I hit on the Jet Fuel. Strange name notwithstanding, an excellent cup of coffee. I do occasionally miss grinding and brewing, but this is sooooooo convenient and the coffee isn't bad.",Positive,Positive,Positive
"I was excited to buy these because I had tried them for the first time on an international flight and thought to order them from my favorite online website. Well, the cookie do not taste like the original cookies, they taste sort of stale and I was not very happy about it. Especially since I am stuck with 6 boxes and cannot buy them at Cost Plus I am scared to open the other 5 boxes! I would jsut stick with buying the common cookies that are in stores because at least those taste good and are of fresher quality.",Negative,Negative,Positive
Culinary Teas gets customer service. I got my tea earlier than expected--it was fresh w/a v. Floral flavor. The company even sent a sample of another flavor of tea. I've ordered from them again & will continue to do so!,Positive,Positive,Positive
"We have a great restaurant in town that serves these fabulous granola pancakes; after trying this Krusteaz Wheat and Honey pancake mix I think I have cracked their secret. These cook up tender and fluffy, not too thin or thick when following the directions. They have a hearty balanced wheat taste that is lightly sweet. I would recommend throwing in a small handful of granola once the mix is on the pan; makes a wonderful addition to the pancake, especially when served with real maple syrup.<br /><br />I use this mix at a high altitude and it's the only one so far that comes out right. I've had to discontinue using two old favorites baking mixes (Bisquick and Carbon) because they required too much tweaking to get a good pancake. The Krusteaz mix works well and tastes great. Bonus is that it is usually the cheapest mix on the shelf as well.<br /><br />Pleased with this product and highly recommended.",Positive,Positive,Positive
I was not fully happy with my purchase. I usually buy this product at Fleet Farm for my dog. They are 40 oz bags for 7.95...i was under the assumption that these pig puffs were the same size and the original price was the same as the ones at Fleet Farm. This product was 4 oz and i bought 2 bags. So basically i spent the same amount of money for 2 bags as the one i would of got a Fleet Farm and only got a quarter the amount. I will never purchase this product again.,Negative,Positive,Negative
"Chocolate always compliments coffee.  It's the same case here.  The dark chocolate taste is obvious but not overpowering.  The coffee smells and tastes very smooth.  So, it truly is a good combination for what it is.",Positive,Positive,Positive
Came in a large cake round.  A little goes a long way.  I love it hot or cold.  Has a  great taste to it as well.  I will purchase again.,Positive,Positive,Positive
My kids seriously think this is chocolate milk.  I can smell the difference but they love it.  My almost 2 year old got the cup from her brother and got in MAYBE 2 sips and the whole day her tummy was messed up after that.  So I wouldnt give it to the little ones.  But my older 2 love it.,Positive,Positive,Positive
"This product's description was definitely incomplete and possibly missleading. Although it was titled ""Fruit Leather"", it is essentially a very thick rectangle of processed fruit flavored plastic-like substance that is very unappealing. Although the price was good, the product was not what I expected or can use.",Negative,Positive,Positive
"I love Snapea Crisps.  The Caesar more than the original, although they are both really yummy.  My children and I eat them instead of cheeto's.  They have that sort of consistency, crunchy and salty, but disolvable enough for my infant son.  They do have fat in them, and the aforementioned salt, but they also have 5 grams of protein per serving, so I feel they are a justifiable snack, as long as they are in place of, rather than in addition to, other salty snacks like chips and french fries.",Positive,Positive,Positive
"island soyaki has a great flavor. sweet and alittle vinegary(i don't usually like this). my husband and i both like the seseame seeds. used it to flavor a chicken, mixed veggie and rice plate that i make. a must try, we will be ordering more soon. my inlaws and mom loved it too! even 3yr old grandson likes it...",Positive,Positive,Positive
"This is a great snack/animal cracker for young children who have many allergies.  My son loves to chew on crackers of any kind, but it is very hard to find ones that are free from all the food allergies he has.  These are perfect for when I need a snack for him when we are wandering around town.  Taste wise, they are ok, but since my son is only 18 months old and eats anything he is given, he's not too picky when it comes to flavor.  For a wheat free, nut free, egg free, dairy free, soy free cookie, they are not too bad.",Positive,Positive,Positive
"When I eat junk food, I'd like to enjoy it, the guilty pleasure it is.<br /><br />These cookies are neither healthy or tasty.  Stick to Chewy Chocolate Chip cookies.",Negative,Positive,Positive
I was thrilled to get this product. I had looked in several grocery stores with no success. It is a great low fat/low carb dressing. It tastes great as well. I appreciate having Amazon where I can usually find what I am looking for.,Positive,Positive,Positive
"I feed my two dogs organic food, so it makes sense to serve them organic snacks. My dogs love these heart shaped, peanut butter biscuits.  I want to give my cherished pets only the best and hope they live a long life; therefore Newman's Own Dog Treats provides them with their nightly snack.  For smaller dogs, these biscuits can easily be broken in half.",Positive,Positive,Positive
"as delicious as these bars are (a little reminiscent of peanut butter cups!), I don't like where they are heading. They are changing the formula somewhat. Tampering with perfection!!! The chcolate coating is getting thinner and thinner so its almost paper thin and sometimes the consistency is a little off.<br />They were perfect about 4 months ago when I thought I would eat these forevever. Now I am starting to look for my next favorite thing! Seems like someone is finding ways to shave costs and the product is starting to suffer.<br /><br />Still - this is by far the best tasting and healthiest guilty pleasure for a fit lifestyle so try it - you are probably not as picky as me!",Positive,Positive,Positive
"Great tasting decaf coffee. I drink up to five cups a day at work and find this to be perfect. I make a very large cup out of it by running it more than once through the machine, producing about 16oz of strong coffee. Tastes great with splenda.",Positive,Positive,Positive
"This is an excellent product!  I know many reviewers have written that it has a lousy taste, or no taste, but in my opinion it is very flavorful.  To me, it has sort of a spicy flavor that is not overwhelming.  The primary reason for eating McDougall's products is to enjoy a healthier lifestyle.  When I think of all the fast food that people think is flavorful, it makes me nauseous.<br /><br />The ingredients absorb all the water so it will be thick.  You can add more water if you like.  My first cup turned out perfect, and although this is a smaller-size cup it was a lot to eat.  I actually had this for my breakfast and I stayed and felt full all morning!  Actually there are only 180 calories, so that is fantastic.  Prepare yourself for a lot of gas after consuming this, but that can usually be expected after eating something so healthy.",Positive,Positive,Positive
"Someone said that it tasted like a Sprite. No it doesn't to me. Not even close in my opinion. It's a Energy Drink. It tastes more like Redbull but with a less tart flavor. I couldn't taste any after taste so that was a plus. Even if it does have Splenda in it, I don't even taste that and I don't like Splenda. It isn't my favorite flavor as I am not a fan of Redbull, but if you do then this syrup just may be for you.<br /><br />*EDIT* I just realized when I wrote that it does not taste like a Sprite the person was commenting about the Lemon Lime syrup. I apologize about that.",Neutral,Negative,Negative
